contract_title,num_categories,num_clauses,num_answered,coverage_percent
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,34,41,15,36.6%
AMERICASSHOPPINGMALLINC_12_10_1999-EX-10.2-SITE DEVELOPMENT AND HOSTING AGREEMENT,34,41,17,41.5%
ANIXABIOSCIENCESINC_06_09_2020-EX-10.1-COLLABORATION AGREEMENT,34,41,19,46.3%
"ARMSTRONGFLOORING,INC_01_07_2019-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT",34,41,15,36.6%
"ASHWORTHINC_01_29_1999-EX-10.(D)-PROMOTION AGREEMENT AND NANTZ COMMUNICATIONS, INC.",34,41,15,36.6%
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement,34,41,13,31.7%
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT,34,41,15,36.6%
ATENTOSA_07_06_2020-EX-99.1-JOINT FILING AGREEMENT,34,41,3,7.3%
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009",34,41,9,22.0%
ATMOSENERGYCORP_11_22_2002-EX-10.17-TRANSPORTATION SERVICE AGREEMENT,34,41,11,26.8%
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT,34,41,8,19.5%
AURASYSTEMSINC_06_16_2010-EX-10.25-STRATEGIC ALLIANCE AGREEMENT,34,41,24,58.5%
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,34,41,19,46.3%
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement,34,41,25,61.0%
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement,34,41,19,46.3%
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement,34,41,15,36.6%
"Antares Pharma, Inc. - Manufacturing Agreement",34,41,13,31.7%
Apollo Endosurgery - Manufacturing and Supply Agreement,34,41,15,36.6%
ArcGroupInc_20171211_8-K_EX-10.1_10976103_EX-10.1_Sponsorship Agreement,34,41,6,14.6%
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement,34,41,9,22.0%
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement,34,41,13,31.7%
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement,34,41,16,39.0%
"Array BioPharma Inc. - LICENSE, DEVELOPMENT AND COMMERCIALIZATION AGREEMENT",34,41,23,56.1%
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement,34,41,17,41.5%
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement,34,41,20,48.8%
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement,34,41,22,53.7%
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1,34,41,15,36.6%
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2,34,41,6,14.6%
"BABCOCK_WILCOXENTERPRISES,INC_08_04_2015-EX-10.17-INTELLECTUAL PROPERTY AGREEMENT between THE BABCOCK _ WILCOX COMPANY and BABCOCK _ WILCOX ENTERPRISES, INC.",34,41,17,41.5%
BANGIINC_05_25_2005-EX-10-Premium Managed Hosting Agreement,34,41,5,12.2%
BANUESTRAFINANCIALCORP_09_08_2006-EX-10.16-AGENCY AGREEMENT,34,41,8,19.5%
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement",34,41,18,43.9%
"BELLRINGBRANDS,INC_02_07_2020-EX-10.18-MASTER SUPPLY AGREEMENT",34,41,13,31.7%
"BERKELEYLIGHTS,INC_06_26_2020-EX-10.12-COLLABORATION AGREEMENT",34,41,29,70.7%
BEYONDCOMCORP_08_03_2000-EX-10.2-CO-HOSTING AGREEMENT,34,41,19,46.3%
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT,34,41,14,34.1%
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT (1),34,41,18,43.9%
BIOAMBERINC_04_10_2013-EX-10.34-DEVELOPMENT AGREEMENT - First Amendment,34,41,4,9.8%
BIOCEPTINC_08_19_2013-EX-10-COLLABORATION AGREEMENT,34,41,20,48.8%
BIOFRONTERAAG_04_29_2019-EX-4.17-SUPPLY AGREEMENT,34,41,12,29.3%
BIOPURECORP_06_30_1999-EX-10.13-AGENCY AGREEMENT,34,41,16,39.0%
BLACKBOXSTOCKSINC_08_05_2014-EX-10.1-DISTRIBUTOR AGREEMENT,34,41,15,36.6%
BLACKROCKMUNIHOLDINGSINVESTMENTQUALITYFUND_04_07_2020-EX-99.01-JOINT FILING AGREEMENT,34,41,4,9.8%
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT,34,41,11,26.8%
BLUEFLYINC_03_27_2002-EX-10.27-e-business Hosting Agreement,34,41,16,39.0%
"BLUEHILLSBANCORP,INC_05_20_2014-EX-1.1-AGENCY AGREEMENT",34,41,10,24.4%
"BLUEROCKRESIDENTIALGROWTHREIT,INC_06_01_2016-EX-1.1-AGENCY AGREEMENT",34,41,9,22.0%
BNCMORTGAGEINC_05_17_1999-EX-10.4-LICENSING AND WEB SITE HOSTING AGREEMENT,34,41,12,29.3%
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT,34,41,18,43.9%
BOLIVARMININGCORP_05_23_2003-EX-2.1-VISP WEB SITE BUILDING AND HOSTING AGREEMENT,34,41,11,26.8%
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,34,41,12,29.3%
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",34,41,9,22.0%
BUFFALOWILDWINGSINC_06_05_1998-EX-10.3-FRANCHISE AGREEMENT,34,41,26,63.4%
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1,34,41,11,26.8%
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement2,34,41,5,12.2%
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement3,34,41,5,12.2%
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement4,34,41,4,9.8%
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement,34,41,15,36.6%
BizzingoInc_20120322_8-K_EX-10.17_7504499_EX-10.17_Endorsement Agreement,34,41,16,39.0%
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement,34,41,15,36.6%
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement,34,41,12,29.3%
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement",34,41,8,19.5%
"CARDAX,INC_08_19_2014-EX-10.1-COLLABORATION AGREEMENT",34,41,15,36.6%
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT,34,41,18,43.9%
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT,34,41,10,24.4%
"CERES,INC_01_25_2012-EX-10.20-Collaboration Agreement",34,41,18,43.9%
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,34,41,25,61.0%
CHAPARRALRESOURCESINC_03_30_2000-EX-10.66-TRANSPORTATION CONTRACT,34,41,11,26.8%
CHEETAHMOBILEINC_04_22_2014-EX-10.43-Cooperation Agreement,34,41,14,34.1%
CHERRYHILLMORTGAGEINVESTMENTCORP_09_26_2013-EX-10.1-Strategic Alliance Agreement,34,41,6,14.6%
CHINARECYCLINGENERGYCORP_11_14_2013-EX-10.6-Cooperation Agreement,34,41,7,17.1%
CHIPMOSTECHNOLOGIESBERMUDALTD_04_18_2016-EX-4.72-Strategic Alliance Agreement,34,41,7,17.1%
"COOLTECHNOLOGIES,INC_10_25_2017-EX-10.71-Strategic Alliance Agreement",34,41,11,26.8%
"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT",34,41,14,34.1%
CORIOINC_07_20_2000-EX-10.5-LICENSE AND HOSTING AGREEMENT,34,41,24,58.5%
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT",34,41,11,26.8%
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT,34,41,9,22.0%
CYBERIANOUTPOSTINC_07_09_1998-EX-10.13-PROMOTION AGREEMENT,34,41,15,36.6%
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1,34,41,23,56.1%
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement2,34,41,2,4.9%
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement3,34,41,4,9.8%
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement4,34,41,6,14.6%
CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement,34,41,9,22.0%
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,34,41,15,36.6%
Cerus Corporation - FIRST AMEND TO SUPPLY AND MANUFACTURING AGREEMENT,34,41,4,9.8%
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement,34,41,14,34.1%
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement,34,41,16,39.0%
CnsPharmaceuticalsInc_20200326_8-K_EX-10.1_12079626_EX-10.1_Development Agreement,34,41,8,19.5%
CoherusBiosciencesInc_20200227_10-K_EX-10.29_12021376_EX-10.29_Development Agreement,34,41,26,63.4%
"Columbia Laboratories, (Bermuda) Ltd. - AMEND NO. 2 TO MANUFACTURING AND SUPPLY AGREEMENT",34,41,12,29.3%
ConformisInc_20191101_10-Q_EX-10.6_11861402_EX-10.6_Development Agreement,34,41,17,41.5%
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement,34,41,10,24.4%
CybergyHoldingsInc_20140520_10-Q_EX-10.27_8605784_EX-10.27_Affiliate Agreement,34,41,15,36.6%
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement,34,41,23,56.1%
DIVERSINETCORP_03_01_2012-EX-4-RESELLER AGREEMENT,34,41,22,53.7%
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT,34,41,9,22.0%
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT,34,41,10,24.4%
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT",34,41,16,39.0%
DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT,34,41,11,26.8%
"DUOSTECHNOLOGIESGROUP,INC_04_21_2009-EX-10.1-STRATEGIC ALLIANCE AGREEMENT",34,41,22,53.7%
DYNAMEXINC_06_06_1996-EX-10.4-TRANSPORTATION SERVICES AGREEMENT,34,41,18,43.9%
DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT,34,41,12,29.3%
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement,34,41,13,31.7%
DeltathreeInc_19991102_S-1A_EX-10.19_6227850_EX-10.19_Co-Branding Agreement_ Service Agreement,34,41,10,24.4%
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement,34,41,27,65.9%
DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,34,41,25,61.0%
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement,34,41,14,34.1%
ELECTRAMECCANICA VEHICLES CORP. - Manufacturing Agreement,34,41,15,36.6%
"ELFBEAUTY,INC_07_02_2020-EX-10.1-COOPERATION AGREEMENT",34,41,7,17.1%
EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC.,34,41,8,19.5%
ENERGOUSCORP_03_16_2017-EX-10.24-STRATEGIC ALLIANCE AGREEMENT,34,41,32,78.0%
ENERGYXXILTD_05_08_2015-EX-10.13-Transportation AGREEMENT,34,41,14,34.1%
ENTERPRISEPRODUCTSPARTNERSLP_07_08_1998-EX-10.3-TRANSPORTATION CONTRACT,34,41,15,36.6%
ENTERTAINMENTGAMINGASIAINC_02_15_2005-EX-10.5-DISTRIBUTOR AGREEMENT,34,41,21,51.2%
ENTRUSTINC_07_24_1998-EX-10.5-STRATEGIC ALLIANCE AGREEMENT,34,41,16,39.0%
"ETELOS,INC_03_09_2004-EX-10.8-DISTRIBUTOR AGREEMENT",34,41,16,39.0%
EUROPEANMICROHOLDINGSINC_03_06_1998-EX-10.6-DISTRIBUTOR AGREEMENT,34,41,21,51.2%
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement,34,41,18,43.9%
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement,34,41,14,34.1%
EcoScienceSolutionsInc_20180406_8-K_EX-10.1_11135398_EX-10.1_Sponsorship Agreement,34,41,8,19.5%
EdietsComInc_20001030_10QSB_EX-10.4_2606646_EX-10.4_Co-Branding Agreement,34,41,21,51.2%
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement,34,41,24,58.5%
ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement,34,41,14,34.1%
EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement,34,41,13,31.7%
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement,34,41,14,34.1%
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement,34,41,8,19.5%
EtonPharmaceuticalsInc_20191114_10-Q_EX-10.1_11893941_EX-10.1_Development Agreement,34,41,19,46.3%
EuromediaHoldingsCorp_20070215_10SB12G_EX-10.B(01)_525118_EX-10.B(01)_Content License Agreement,34,41,18,43.9%
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement,34,41,22,53.7%
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT,34,41,9,22.0%
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_AMENDMENT,34,41,5,12.2%
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_POWEROF,34,41,6,14.6%
FEDERATEDGOVERNMENTINCOMESECURITIESINC_04_28_2020-EX-99.SERV AGREE-SERVICES AGREEMENT_SECONDAMENDMENT,34,41,5,12.2%
FIBROGENINC_10_01_2014-EX-10.11-COLLABORATION AGREEMENT,34,41,22,53.7%
"FIDELITYNATIONALINFORMATIONSERVICES,INC_08_05_2009-EX-10.3-INTELLECTUAL PROPERTY AGREEMENT",34,41,15,36.6%
FLOTEKINDUSTRIESINCCN_05_09_2019-EX-10.1-SUPPLY AGREEMENT,34,41,12,29.3%
"FOUNDATIONMEDICINE,INC_02_02_2015-EX-10.2-Collaboration Agreement",34,41,19,46.3%
"FTENETWORKS,INC_02_18_2016-EX-99.4-STRATEGIC ALLIANCE AGREEMENT",34,41,16,39.0%
FUSIONPHARMACEUTICALSINC_06_05_2020-EX-10.17-Supply Agreement - FUSION,34,41,15,36.6%
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement,34,41,9,22.0%
Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement,34,41,6,14.6%
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement,34,41,13,31.7%
FuelcellEnergyInc_20191106_8-K_EX-10.1_11868007_EX-10.1_Development Agreement,34,41,21,51.2%
FulucaiProductionsLtd_20131223_10-Q_EX-10.9_8368347_EX-10.9_Content License Agreement,34,41,12,29.3%
FuseMedicalInc_20190321_10-K_EX-10.43_11575454_EX-10.43_Distributor Agreement,34,41,14,34.1%
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT,34,41,13,31.7%
GALACTICOMMTECHNOLOGIESINC_11_07_1997-EX-10.46-WEB HOSTING AGREEMENT,34,41,4,9.8%
"GALERATHERAPEUTICS,INC_02_14_2020-EX-99.A-JOINT FILING AGREEMENT",34,41,3,7.3%
"GIGGLESN_HUGS,INC_06_23_2016-EX-10.2-STRATEGIC ALLIANCE AGREEMENT",34,41,10,24.4%
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT,34,41,8,19.5%
GOCALLINC_03_30_2000-EX-10.7-Promotion Agreement,34,41,14,34.1%
GOLDRESOURCECORP_12_11_2008-EX-10.1-STRATEGIC ALLIANCE AGREEMENT,34,41,11,26.8%
"GOOSEHEADINSURANCE,INC_04_02_2018-EX-10.6-Franchise Agreement",34,41,28,68.3%
GRANTIERRAENERGYINC_05_07_2012-EX-10.6-TRANSPORTATION CONTRACT,34,41,13,31.7%
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT",34,41,6,14.6%
"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.",34,41,14,34.1%
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT,34,41,13,31.7%
GULFSOUTHMEDICALSUPPLYINC_12_24_1997-EX-4-AFFILIATE AGREEMENT,34,41,4,9.8%
"GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT",34,41,7,17.1%
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement,34,41,16,39.0%
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement,34,41,18,43.9%
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement,34,41,13,31.7%
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1,34,41,22,53.7%
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement2,34,41,9,22.0%
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement3,34,41,5,12.2%
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement4,34,41,4,9.8%
GopageCorp_20140221_10-K_EX-10.1_8432966_EX-10.1_Content License Agreement,34,41,17,41.5%
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement,34,41,20,48.8%
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.8_11951679_EX-10.8_Service Agreement,34,41,16,39.0%
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement,34,41,16,39.0%
GridironBionutrientsInc_20171206_8-K_EX-10.2_10972556_EX-10.2_Endorsement Agreement,34,41,5,12.2%
"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT",34,41,15,36.6%
"HC2HOLDINGS,INC_05_14_2020-EX-10.1-COOPERATION AGREEMENT",34,41,7,17.1%
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT (1),34,41,23,56.1%
HEALTHGATEDATACORP_11_24_1999-EX-10.1-HOSTING AND MANAGEMENT AGREEMENT - Escrow Agreement,34,41,6,14.6%
"HEMISPHERX - Sales, Marketing, Distribution, and Supply Agreement",34,41,18,43.9%
"HERTZGLOBALHOLDINGS,INC_07_07_2016-EX-10.4-INTELLECTUAL PROPERTY AGREEMENT",34,41,11,26.8%
HOLIDAYRVSUPERSTORESINC_04_15_2002-EX-10.13-ENDORSEMENT AGREEMENT,34,41,11,26.8%
"HOSPITALITYINVESTORSTRUST,INC_04_07_2014-EX-10.26-FRANCHISE AGREEMENT",34,41,17,41.5%
HPILHOLDING_01_07_2015-EX-99.1-COOPERATION AGREEMENT,34,41,9,22.0%
HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT,34,41,8,19.5%
HYDRONTECHNOLOGIESINC_03_31_1997-EX-10.47-SPONSORSHIP AGREEMENT,34,41,10,24.4%
HYPERIONSOFTWARECORP_09_28_1994-EX-10.47-EXCLUSIVE DISTRIBUTOR AGREEMENT,34,41,19,46.3%
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement,34,41,25,61.0%
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement,34,41,15,36.6%
HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement,34,41,19,46.3%
HerImports_20161018_8-KA_EX-10.14_9765707_EX-10.14_Maintenance Agreement,34,41,5,12.2%
HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement,34,41,12,29.3%
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement,34,41,15,36.6%
ICORECONNECTINC_10_13_2010-EX-7.1-Strategic Alliance Agreement,34,41,14,34.1%
IDREAMSKYTECHNOLOGYLTD_07_03_2014-EX-10.39-Cooperation Agreement on Mobile Game Business,34,41,11,26.8%
IGENEBIOTECHNOLOGYINC_05_13_2003-EX-1-JOINT VENTURE AGREEMENT,34,41,15,36.6%
IMAGEWARESYSTEMSINC_12_20_1999-EX-10.22-MAINTENANCE AGREEMENT,34,41,11,26.8%
IMMUNOMEDICSINC_08_07_2019-EX-10.1-PROMOTION AGREEMENT,34,41,21,51.2%
IMPCOTECHNOLOGIESINC_04_15_2003-EX-10.65-JOINT VENTURE AGREEMENT,34,41,12,29.3%
INGEVITYCORP_05_16_2016-EX-10.5-INTELLECTUAL PROPERTY AGREEMENT,34,41,13,31.7%
INKTOMICORP_06_08_1998-EX-10.14-SOFTWARE HOSTING AGREEMENT,34,41,19,46.3%
"INNOVIVA,INC_08_07_2014-EX-10.1-COLLABORATION AGREEMENT",34,41,17,41.5%
"INTELLIGENTHIGHWAYSOLUTIONS,INC_01_18_2018-EX-10.1-Strategic Alliance Agreement",34,41,11,26.8%
INTERNATIONALFASTFOODCORP_04_04_1997-EX-99-FRANCHISE AGREEMENT,34,41,18,43.9%
"INTERSECTENT,INC_05_11_2020-EX-10.1-SUPPLY AGREEMENT",34,41,13,31.7%
INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement,34,41,16,39.0%
"IOVANCEBIOTHERAPEUTICS,INC_08_03_2017-EX-10.1-STRATEGIC ALLIANCE AGREEMENT",34,41,14,34.1%
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT",34,41,15,36.6%
IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT,34,41,16,39.0%
IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement,34,41,13,31.7%
IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement,34,41,13,31.7%
IdeanomicsInc_20160330_10-K_EX-10.26_9512211_EX-10.26_Content License Agreement,34,41,14,34.1%
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement,34,41,15,36.6%
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement,34,41,4,9.8%
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement,34,41,18,43.9%
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement,34,41,17,41.5%
InnerscopeHearingTechnologiesInc_20181109_8-K_EX-10.6_11419704_EX-10.6_Distributor Agreement,34,41,15,36.6%
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement,34,41,9,22.0%
IntegrityMediaInc_20010329_10-K405_EX-10.17_2373875_EX-10.17_Co-Branding Agreement,34,41,15,36.6%
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement,34,41,23,56.1%
IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement,34,41,18,43.9%
JINGWEIINTERNATIONALLTD_10_04_2007-EX-10.7-INTELLECTUAL PROPERTY AGREEMENT,34,41,11,26.8%
JOINTCORP_09_19_2014-EX-10.15-FRANCHISE AGREEMENT,34,41,25,61.0%
